2021-12-30 13:44:26 [main] INFO  epam.finalproject.model.pool.ConnectionPool - Connection closed!
2021-12-30 13:44:26 [main] INFO  epam.finalproject.model.pool.ConnectionPool - Connection closed!
2021-12-30 13:44:26 [main] INFO  epam.finalproject.model.pool.ConnectionPool - Connection closed!
2021-12-30 13:44:26 [main] INFO  epam.finalproject.model.pool.ConnectionPool - Connection closed!
2021-12-30 13:44:26 [main] INFO  epam.finalproject.model.pool.ConnectionPool - Connection closed!
2021-12-30 13:44:26 [main] INFO  epam.finalproject.model.pool.ConnectionPool - Connection closed!
2021-12-30 13:44:26 [main] INFO  epam.finalproject.model.pool.ConnectionPool - Connection closed!
2021-12-30 13:44:26 [main] INFO  epam.finalproject.model.pool.ConnectionPool - Deregister driver.
2021-12-30 13:45:32 [main] INFO  epam.finalproject.model.pool.ConnectionPool - Connection closed!
2021-12-30 13:45:32 [main] INFO  epam.finalproject.model.pool.ConnectionPool - Connection closed!
2021-12-30 13:45:32 [main] INFO  epam.finalproject.model.pool.ConnectionPool - Connection closed!
2021-12-30 13:45:32 [main] INFO  epam.finalproject.model.pool.ConnectionPool - Connection closed!
2021-12-30 13:45:32 [main] INFO  epam.finalproject.model.pool.ConnectionPool - Connection closed!
2021-12-30 13:45:32 [main] INFO  epam.finalproject.model.pool.ConnectionPool - Connection closed!
2021-12-30 13:45:32 [main] INFO  epam.finalproject.model.pool.ConnectionPool - Connection closed!
2021-12-30 13:45:32 [main] INFO  epam.finalproject.model.pool.ConnectionPool - Connection closed!
2021-12-30 13:45:32 [main] INFO  epam.finalproject.model.pool.ConnectionPool - Deregister driver.
2021-12-30 13:47:08 [main] INFO  epam.finalproject.model.pool.ConnectionPool - Connection closed!
2021-12-30 13:47:08 [main] INFO  epam.finalproject.model.pool.ConnectionPool - Connection closed!
2021-12-30 13:47:08 [main] INFO  epam.finalproject.model.pool.ConnectionPool - Connection closed!
2021-12-30 13:47:08 [main] INFO  epam.finalproject.model.pool.ConnectionPool - Connection closed!
2021-12-30 13:47:08 [main] INFO  epam.finalproject.model.pool.ConnectionPool - Connection closed!
2021-12-30 13:47:08 [main] INFO  epam.finalproject.model.pool.ConnectionPool - Connection closed!
2021-12-30 13:47:08 [main] INFO  epam.finalproject.model.pool.ConnectionPool - Connection closed!
2021-12-30 13:47:08 [main] INFO  epam.finalproject.model.pool.ConnectionPool - Connection closed!
2021-12-30 13:47:08 [main] INFO  epam.finalproject.model.pool.ConnectionPool - Deregister driver.
2021-12-30 13:56:34 [main] INFO  epam.finalproject.model.pool.ConnectionPool - Connection closed!
2021-12-30 13:56:34 [main] INFO  epam.finalproject.model.pool.ConnectionPool - Connection closed!
2021-12-30 13:56:34 [main] INFO  epam.finalproject.model.pool.ConnectionPool - Connection closed!
2021-12-30 13:56:34 [main] INFO  epam.finalproject.model.pool.ConnectionPool - Connection closed!
2021-12-30 13:56:34 [main] INFO  epam.finalproject.model.pool.ConnectionPool - Connection closed!
2021-12-30 13:56:34 [main] INFO  epam.finalproject.model.pool.ConnectionPool - Connection closed!
2021-12-30 13:56:34 [main] INFO  epam.finalproject.model.pool.ConnectionPool - Connection closed!
2021-12-30 13:56:34 [main] INFO  epam.finalproject.model.pool.ConnectionPool - Connection closed!
2021-12-30 13:56:34 [main] INFO  epam.finalproject.model.pool.ConnectionPool - Deregister driver.
2021-12-30 13:56:43 [main] INFO  epam.finalproject.model.pool.ConnectionPool - Connection closed!
